n,m,k,val,t_sol,t
500,2,5,62.73,953.800353,1800.058056
500,2,5,67.74,1485.713471,1800.00168
500,2,5,73.19,1500.80697,1800.047064
500,2,5,77.412,1638.764837,1800.051793
500,2,5,83.067,1004.282378,1800.033971
500,2,5,85.532,1601.51126,1800.02204
500,2,5,90.841,1233.352319,1800.049728
500,2,5,96.835,1580.955534,1800.010909
500,2,5,106.914,1466.143719,1800.044505
500,5,5,5607.349,1294.371171,1800.022301
500,5,5,6025.968,1690.555135,1800.048148
500,5,5,6206.215,437.997507,1800.005778
500,5,5,6233.231,470.084592,1800.075118
500,5,5,6561.78,1785.383021,1800.065855
500,5,5,6744.24,1598.646105,1800.017199
500,5,5,7027.316,1758.530544,1800.016288
500,5,5,7115.086,1427.801334,1800.104415
500,5,5,7386.442,1633.132702,1800.055125
500,5,5,7456.3,1752.208701,1800.050099
500,10,5,31131.923,714.823574,1800.118044
500,10,5,31229.011,835.286327,1800.184601
500,10,5,32251.276,964.229797,1800.113426
500,10,5,32680.841,1063.601051,1800.247527
500,10,5,32837.422,1006.794579,1800.0527
500,10,5,32897.834,1624.202713,1800.002302
500,10,5,33325.514,1447.463792,1800.139329
500,10,5,33364.029,819.901865,1800.213262
500,10,5,33438.699,1635.297689,1800.035146
500,10,5,33440.549,1787.131979,1800.077974
500,20,5,77030.191,1030.434939,1800.173453
500,20,5,78147.195,445.23988,1800.069349
500,20,5,79016.166,1347.869845,1800.154113
500,20,5,80057.481,1685.040587,1800.02595
500,20,5,80196.329,1368.249033,1800.175142
500,20,5,80564.925,1713.623368,1800.129026
500,20,5,81055.232,1287.095061,1800.059961
500,20,5,81645.79,1440.765682,1800.062203
500,20,5,82624.005,1123.649025,1800.212841
500,20,5,82876.091,1182.532321,1800.097635
500,2,10,370.311,1405.93172,1800.111104
500,2,10,397.229,752.146856,1800.029868
500,2,10,440.799,1739.615924,1800.471158
500,2,10,472.941,1623.896124,1800.12194
500,2,10,485.123,1350.393204,1800.132347
500,2,10,513.841,1341.271223,1800.287224
500,2,10,521.303,1614.252221,1800.254479
500,2,10,525.926,1040.632281,1800.110048
